title,url,date,text
春节临近 请收好这份防骗指南,http://society.people.com.cn/n1/2024/0205/c1008-40173569.html,2024-02-05,"
				
            	
				人民网北京2月5日电 （周静圆）春节将至，不法分子也开始“冲业绩”，一些与“春节”“年货”有关的诈骗套路卷土重来，花式骗术更是容易让人掉入陷阱。近日，人民网“求真”栏目整理了近期常见的诈骗套路，提醒广大网民，增强防范意识，守好“钱袋子”。
套路一：“年货卡”免费扫码领奖
近日，有网民在社交平台上反映自己收到“陌生快递”，里面的“年货卡”宣传单上写有“年终盛典免费献礼”的信息，并称“扫码免费领取年货礼包”。其实，所谓的“年货卡”是不法分子用来吸引人的诈骗方式，目的是以中奖、赠品或做任务获得奖励作为噱头，将受害者拉入群聊后，诱导其参与“非法刷单”等活动。
套路二：点击领取“红包补贴”
春节临近，“集福”“抢红包”成为网络热议话题。然而，一些不法分子却趁机实施诈骗，在网络上发布“春节补贴正在发放”“开抢500元代金券”“免费领红包”的页面。
当有人点击后，页面显示中奖的奖品或奖金“丰厚”。一旦有人为了领取相应奖项而按照要求输入银行卡号码等个人信息后，卡内资金便有可能会被划走。
套路三：年末积分兑换清零
不法分子给受害者发送“年末积分兑换清零”的短信，并附上钓鱼网站的链接。这些虚假网站往往被伪装成官方网站或正规平台，诱导受害者输入身份证号码、信用卡号码等个人信息。一旦信息被盗取，不法分子就会利用这些信息开展盗刷或诈骗活动。
套路四：火车票、机票退改签
眼下正值春运期间，一些不法分子非法获取受害者的乘车、乘机信息，包括姓名、身份证号码、班次等内容，冒充订票网站或航空公司的工作人员，以班次取消、航班延误、车票需要改签等理由主动提出退费或理赔，诱导受害者提供银行卡信息或接受屏幕共享操作，从而转走卡内资金。
套路五：冒充网购客服
近期，不少人选择在网上置办年货。不法分子通过虚假电商平台等伪装成正规商家、知名品牌的代购，以低价吸引消费者购买，然后以商品质量不达标等理由，要求受害者提供个人信息和银行账户，从而实施诈骗。
“求真”栏目提醒广大网民：不要轻易点击任何来历不明的网址链接，如果收到快递后，遇到里面有陌生二维码的不要轻易扫描；通过正规渠道购买车票、机票，遇到票务需要退改签的情况，请与官方平台联系；通过正规渠道进行网购，不要轻易向他人提供银行卡等信息。
                
                (责编：温璐、邓志慧)
				
				分享让更多人看到  
			"
2023年那些我们一起击碎的谣言,http://society.people.com.cn/n1/2024/0109/c1008-40155382.html,2024-01-09,"
				
            	
				

                
                (责编：温璐、邓志慧)
				
				分享让更多人看到  
			"
这些涉及公务员考试的骗局需警惕！,http://society.people.com.cn/n1/2023/1125/c1008-40125768.html,2023-11-25,"
				
            	
				

showPlayer({id:""/pvservice/xml/2023/11/25/814ee558-89b2-4e0d-be62-82195ac7b2c3.xml"",width:640,height:360});

人民网北京11月25日电 （周静圆）2024年国家公务员考试笔试临近，不法分子也动起了歪心思，他们利用一些家长和考生急于求成的心理，以“一劳永逸”“七天搞定公务员”等谎言骗取钱财。人民网“求真”栏目整理了五种较为常见的诈骗套路，提醒广大家长和考生提高警惕。
                
                (责编：温璐、邓志慧)
				
				分享让更多人看到  
			"
“双11”来了 这份反套路指南请收好！,http://society.people.com.cn/n1/2023/1110/c1008-40115607.html,2023-11-10,"
				
            	
				人民网北京11月10日电 （周静圆）近期，“双11”促销活动如火如荼地进行中。不法分子也伺机而动，设置各式各样陷阱。人民网“求真”栏目整理了六种常见的套路，提醒大家提高警惕，守好“钱袋子”。






                
                (责编：彭静、邓志慧)
				
				分享让更多人看到  
			"
反诈民警揭开帮信罪“面纱” 教你如何避坑,http://society.people.com.cn/n1/2023/0828/c1008-40065377.html,2023-08-28,"
				
            	
				人民网北京8月28日电 （郝萍、周静圆）最近，反诈电影《孤注一掷》正在上映，电影中“跑分车队”“水房洗钱”的情节引出了一个热门的话题——帮助信息网络犯罪活动罪（以下称：帮信罪）。
近日，最高人民法院对外发布了帮信罪司法治理的调研报告。报告指出，被告人低龄化、低学历、低收入特征明显，初犯人员占比较高，有的电诈犯罪组织已经将未成年人、在校学生作为重点发展对象。人民网“求真”栏目邀请反诈民警揭开帮信罪“面纱”。
“在校学生和无业青少年，甚至是未成年人更容易卷入电信网络诈骗案件。”山东潍坊青州市公安局反电信网络诈骗大队中队长庞伟介绍，他们因为贪图赚快钱，将自己的电话卡、银行账户和互联网账号出租、出借、出售给他人，或者是帮助诈骗分子搭建设备实施犯罪，还有的从事“吸粉引流”“贩卡洗钱”等电信网络诈骗及关联违法犯罪活动，被诈骗团伙利用充当犯罪“工具人”。
在利益诱惑面前，涉世未深的学生群体容易迷失方向，一步步陷入违法犯罪的泥潭。庞伟表示，有些学生可能认为，只不过是将自己办理的电话卡、银行账户、微信和支付宝收款码以及互联网账号租出去给他人使用，他们干什么跟自己没有任何关系……就是这些“误以为”，让无辜的家庭遭受骗局。很多学生也因为自己一时贪念，彻底改变人生的轨迹。
“随着反电信网络诈骗法的出台，国家对打击电信网络诈骗这一社会毒瘤，进一步补强了法律武器。”庞伟说，违法犯罪行为人不仅要承担刑事责任、行政责任还要承担一定的民事责任。同时相关人员还会被纳入信用记录进行惩戒，一旦触犯相关法律，后果十分严重。
“求真”栏目提醒，广大网民要懂法守法，主动学习法律知识，切实提高自己的防骗能力。
                
                (责编：温璐、邓志慧)
				
				分享让更多人看到  
			"
警惕！这些与汛情相关的谣言不可信,http://society.people.com.cn/n1/2023/0810/c1008-40054332.html,2023-08-10,"
				
            	
				人民网北京8月10日电 连日来，各地区和有关部门充分发动各方力量，全力以赴开展防汛抗洪救灾工作。但是，个别网民却为博取关注、吸引流量而故意编造、发布谣言信息，混淆视听、误导公众。人民网“求真”栏目整理了近期与汛情相关的谣言，提醒大家不信谣、不传谣。
“秦皇岛、唐山等地洪水肆虐导致地面坍塌”
近日，有网民在短视频平台发布视频称，河北省秦皇岛市、唐山市等地洪水肆虐，导致大量汽车被淹、地面坍塌并有机动车陷入其中。
经河北警方核查，网民卢某某、柴某某将网上搜索到的多年前外省洪灾视频剪辑、拼接，再转发到本人新媒体账号内并声称为本地发生，借此达到蹭流量、获取热度、增加粉丝数的目的。河北警方依据《中华人民共和国治安管理处罚法》的相关规定，依法对两人处以行政处罚。

网传消息截图。
“河北省涿州市某地5000多人将断粮”
近日，网传“河北省涿州市码头镇5000多人将断粮，救援队也是一天只吃一顿饭，送不过去”消息，引发了众多网民关注。
8月7日，河北省涿州市委宣传部官方账号“涿州发布”辟谣称，网传消息不实。同时，“涿州发布”提醒广大网民：网络不是法外之地，应坚决抵制谣言，守住法律底线，约束个人行为。

网传消息截图。
“河北省涿州市发放1.1亿补偿资金”
近日，网传消息称“河北省涿州市已经在8月2日完成了1.1亿受灾群众补偿资金的发放工作，受益人数达到了9.6万人，涉及3.5万户家庭”。
8月7日，“涿州发布”辟谣称，网传消息不实。同时，“涿州发布”还呼吁网民共同抵制网络谣言。

网传消息截图。
“河北泊头48村准备撤离预备泄洪”
近日，河北沧州泊头，网民张某在短视频平台发布视频并配文称“泊头48村准备撤离预备泄洪是真的吗”，该信息引发广大网民关注。
经泊头市公安局核实，该信息为捏造事实的网络谣言。网民张某为博取关注、赚取流量，故意编造传播网络谣言，造成不良社会影响。根据《中华人民共和国治安管理处罚法》第二十五条第一款的规定，泊头市公安局依法对其作出罚款三百元的行政处罚决定。（周静圆 实习生阙梅梅）

网传消息截图。
                
                (责编：彭静、邓志慧)
				
				分享让更多人看到  
			"
注意！这些有关地震的传闻别信,http://society.people.com.cn/n1/2023/0808/c1008-40052845.html,2023-08-08,"
				
            	
				人民网北京8月8日电 （周静圆）8月6日，山东省德州市平原县发生5.5级地震，一些有关地震的传闻再次引发网民关注。人民网“求真”栏目采访整理了相关内容，提醒大家不信谣、不传谣。
传闻一：“地震可以提前一个小时预警”
这其实是混淆了地震发生前的“地震预报”和地震已经发生但破坏性地震波尚未传播开来的“地震预警”的概念。
地震预警并不是地震预报，收到预警信息表明已经地震了。它指的是在地震发生后，在破坏性地震波达到之前，向目标区发布避险警报信息，提前几秒至几十秒告知地震动的可能大小、可能破坏程度和可能到达的时间，以便采取应急处置措施，公众可进行紧急逃生避险，而高铁、危化企业等则可自动采取地震紧急处置措施，进而在一定程度上减少人员伤亡和财产损失。
“求真”栏目了解到，地震预警虽然可以提供紧急警报信息，但是受技术原理所限，仍存在地震预警盲区。地震发生后，从地震台站首次捕捉到地震波信号到正式发出预警信息，需要4至6秒的时间，导致震中20至30公里范围内无法预警，恰恰这样的区域是地面运动最强烈的区域，因此地震预警对破坏最严重的极震区基本是无效的。
传闻二：“打着‘官方发布’的旗号称‘某地还要发生几级地震’”
近日，社交平台上出现打着“官方发布”的旗号称“某地还要发生几级地震”的消息。

网络截图。
根据防震减灾法第二十九条规定，国家对地震预报意见实行统一发布制度。全国范围内的地震长期和中期预报意见，由国务院发布。省、自治区、直辖市行政区域内的地震预报意见，由省、自治区、直辖市人民政府按照国务院规定的程序发布。除发表本人或者本单位对长期、中期地震活动趋势的研究成果及进行相关学术交流外，任何单位和个人不得向社会散布地震预测意见。任何单位和个人不得向社会散布地震预报意见及其评审结果。
地震是一种自然现象。据中国地震台网测定，中国大陆每年都会发生十余万次地震，其中可能被人们感知的地震仅有上千次。到目前为止，人类尚未完全掌握地震的形成机理，地震从孕育到发生的过程十分复杂，地震预报仍然是世界公认的科学难题，尚处于探索阶段，很难做到非常精确地对地震时、空、强度的预测。
传闻三：“动物异常是地震前兆”
动物异常的因素多种多样，比如气候、天气、环境等都会引起动物异常反应，也就是说动物异常并不一定会是地震前兆。
中国地震局地震预测研究所研究员陈会忠表示，震前动物异常确实在有些地震发生前存在，但是也有很多地震发生前没有出现或者并不明显。
传闻四：“李四光预言了四大地震区域”
近日，有关“李四光预言了四大地震区域”的说法又在网上流传起来，其中“四大地震区域的地点”有多个版本。
李四光是我国著名地质学家，他创立了地质力学，为我国石油工业建立了不朽功勋。李四光基于历史地震资料和地质构造特点等，指出我国有几个值得注意的地震带，并对这些地区的地震大趋势作出了较为准确的判断，这些资料在《李四光全集》中有系统地反映。
但是，这些关于地震趋势的判断，并不是通常理解的地震预测预报。李四光进行地震趋势判断的思路和方法，今天已经得到系统地发展，并体现在“地震重点监视防御区”判定工作中。
“求真”栏目再次提醒广大网民，有关地震的一切信息以官方发布为准，不信谣、不传谣。
                
                (责编：彭静、邓志慧)
				
				分享让更多人看到  
			"
不实信息、仿冒网站……别被这些不法信息骗了！,http://society.people.com.cn/n1/2023/0808/c1008-40052586.html,2023-08-08,"
				
            	
				 “这一人事调整再次证明XX集团内部高层明争暗斗不止，其业务必将全线快速衰退……”
今年6月，浙江某上市公司发布了一则正常人事调整信息，然而，互联网上却出现了许多对该信息的不实解读，严重影响企业声誉、形象和正常的经营活动。
针对这一状况，浙江网信部门第一时间对确定为抹黑造谣相关企业的有害信息进行了依法依规处置。随后，相关话题渐渐回归理性讨论。
浙江省历来重视民营经济。浙江省互联网违法和不良信息举报中心有关同志表示，针对民营企业被攻击抹黑、造谣传谣，网信部门近年来加大处置和力度，今年上半年就已处理涉150余家头部上市企业、拟上市企业、高新技术企业的侵权有害信息，对相关典型案例进行曝光，切实维护企业家合法权益，有力维护正常良好的市场环境。
除了处置不实有害信息，浙江网信部门还积极打击处理各类涉企网络侵权违法行为，积极营造清朗网络营商环境。
7月，某汽车零部件公司向浙江网信部门举报，称有网站冒用该公司名称标志等，引导网民进行“投资理财”，疑似电信网络诈骗。经杭州网信办、萧山网信办核查，被举报的网站为诈骗网站。
浙江省互联网违法和不良信息举报中心立刻协调相关部门，对该仿冒诈骗网站进行打击处置，成功避免了更多网民上当受骗。
近日，国家网信办深入推进“清朗·优化营商网络环境 保护企业合法权益”专项行动，部署指导地方网信办积极受理处置涉企业、企业家的不法信息，督促网站平台快速核查处置涉企投诉举报。截至目前，重点网站平台清理涉企虚假不实等信息8.6万余条，依法依约处置账号8425个。
像这样切实维护企业和企业家的合法权益的举措在浙江越来越多。浙江网信部门近年来积极开展“亲清·护企”“清声·纾困”等专项行动，综合推出“企业问题三清单”“风险化解三机制”“处置能力三提升”等护企措施，助力企业良性健康发展。
浙江网信办相关负责人表示，将进一步优化营商网络环境，保护企业网络合法权益，为经营主体营造稳定、公平、透明、可预期的网络环境，让更多企业安心搞经营、放心谋发展，在高质量发展之路轻装上阵、大胆发展。（李楠楠 实习生 曾宇昕）
                
                (责编：薄晨棣、邓志慧)
				
				分享让更多人看到  
			"
官方辟谣“地震云”：没有足够科学依据证明云可以预示地震发生,http://society.people.com.cn/n1/2023/0806/c1008-40051391.html,2023-08-06,"
				
            	
				人民网北京8月6日电 （周静圆）据中国地震台网正式测定：8月6日2时33分在山东省德州市平原县发生5.5级地震，震源深度10千米。地震发生后，有网友晒出自己拍下的云层，有关“地震云能预测地震”的说法在网络上广泛传播。8月6日，应急管理部官方微博就所谓“地震云”相关说法进行辟谣。

网络截图。
据了解，云形成的整个过程，都是在大气圈当中完成的。而地震是发生在岩石圈里面，所以没有足够的科学依据证明，云可以预示地震的发生。网上所谓的“地震云”，主要是高积云与层积云两种。高积云的出现说明天气很好，层积云的出现代表会有降雨，与地震没有一一对应的关系。

应急管理部官方微博截图。
                
                (责编：彭静、邓志慧)
				
				分享让更多人看到  
			"
这些有关台风“杜苏芮”的谣言 别再传了！,http://society.people.com.cn/n1/2023/0801/c1008-40048295.html,2023-08-01,"
				
            	
				人民网北京8月1日电 近日，2023年第5号台风“杜苏芮”来势凶猛，给相关地区造成了损失，牵动着大家的心，同时，各种谣言开始滋生蔓延。人民网“求真”栏目整理了有关台风“杜苏芮”的谣言，提醒大家不信谣、不传谣。
谣言一：台风吹歪一幢楼？
7月28日，福建省泉州市，一则“17级台风吹歪一幢楼”的视频在短视频平台流传，视频称因受台风“杜苏芮”影响，泉州西郊社区有楼体倾斜。
【真相】7月28日，中建三局运用专业测量仪在现场进行垂直度偏差测量，该楼体不存在被大风吹歪的情况。次日，泉州市住建局还召集专业测量机构进行测量，交替复核，并对该小区其他楼栋进行抽检。测量结果显示，该楼不存在倾斜问题。
谣言二：泉州一沙湾吹上来一只鲸鱼？
7月28日，台风“杜苏芮”登陆福建省泉州市，“惠安西沙湾直接吹上来一只鲸鱼”的视频在互联网上传播，引发网民转发热议。
【真相】“求真”栏目从泉州市惠安县了解到，惠安警方已第一时间派出民警前往查证，并未发现视频中的情况。根据视频里的风力和沙滩环境判断，其中显示的并非泉州本地沙滩。

网传消息截图。
谣言三：山美水库泄洪导致南安不少乡镇积水严重？
7月29日，福建省南安市，网上有人传播“山美水库泄洪导致南安不少乡镇积水严重”的消息。
【真相】“求真”栏目了解到，为全力做好台风“杜苏芮”的防御工作，山美水库在“杜苏芮”影响当地前就腾出防洪库容5000万立方米。7月28日8时至29日12时，山美水库累计拦蓄洪水4800万立方米，最大限度地发挥大型水库拦洪、削峰的功能，保障了下游人民的生命财产安全。
谣言四：持续强降雨致卢沟桥坍塌？
7月31日，受台风影响，北京连日来持续降雨，一则“持续强降雨致卢沟桥坍塌”的消息在网上传播，引起了网民关注。
【真相】“求真”栏目从北京市丰台区获悉，坍塌桥梁并非卢沟桥，而是其西侧的小清河桥，目前该区域道路已经暂时封闭。丰台区相关部门第一时间赶赴现场展开应急处置，保障人员安全，具体情况待官方通报。

网传消息截图。
谣言五：被困K1178次列车水深及腰？
7月31日，北京，网传“受暴雨影响，终到北京丰台站的K1178次列车在车站停留，周围环境已雨水及腰，不具备转移条件，所有乘客仍在列车中等待”。
【真相】网传“被困K1178次列车水深及腰”的消息不实。“求真”栏目从中国铁路北京局集团有限公司获悉，K1178次列车停靠在沿河城火车站，该站地势高，站内地质条件较好，旅客全部在车厢内。8月1日10时，铁路部门组织人员已将食品、饮用水等生活物资送达K1178次列车，旅客平安无危险。（周静圆、实习生阙梅梅）
                
                (责编：温璐、邓志慧)
				
				分享让更多人看到  
			"
