title,url,date,text
#微博辟谣##正义辟谣台# 整理2024年2月相关谣言,https://weibo.com/1866405545/O2QNSoaPm,2024-02-29,#微博辟谣# 【2月#正义辟谣台#｜不信谣不传谣，让真相的春风润化万物】武汉地铁发生爆炸？斥资2.1亿打造婚宴？买票看火箭发射？头孢配酒一点事没有？2024年2月，岁末年关，社会热点事件多发，辟谣也要及时跟上。正义网“正义辟谣台”栏目整理了近期相关谣言，提醒广大网民擦亮双眼。不信谣、不传谣！ ​​​
#微博辟谣# 杞县公安通报5起网络谣言典型案例,https://weibo.com/1866405545/O2Ru0rAad,2024-02-29,"【杞县公安通报5起网络谣言典型案例】

为营造春节期间清朗和谐的网络环境，杞县公安局联合网信部门持续开展“清朗·2024年春节网络环境整治”专项行动，聚焦人民群众反映强烈的网络生态问题，集中查处了一批炮制虚假信息、恶意抹黑炒作等网络违法违规行为。现将部分典型案例通报如下：

案例（一）
网民韩某为发泄私愤，在社交平台恶意剪辑视频抹黑公安机关形象，并以此敲诈勒索他人，性质恶劣，造成不良社会影响。目前杞县警方已依法对嫌疑人李某某予以刑事处罚，并责令删除相关网络帖文。
案例（二）
网民李某某因对判决不满，为博取关注、制造声势，发布辱骂他人信息，扰乱社会秩序。目前，杞县警方依法依规对违法行为人李某某予以行政处罚，并责令其删除相关网络帖文。
案例（三）
网民徐某某为发泄私愤、博取关注，在社交平台发布恶意抹黑政府、煽动群体对立等涉政类谣言信息，引发社会关注，造成不良社会影响。目前杞县警方对视频发布者徐某某依法训诫，责令其删除相关网络帖文。
案例（四）
网民李某某为博取关注、恶搞他人，在社交平台发布虚假悬赏信息，引发不明真相群众热议，造成不良社会影响。杞县警方对视频发布者李某某依法训诫，责令其删除相关网络帖文。
案例（五）
网民蒲某某为发泄私愤，在社交平台发布持刀伤人暴力视频，并配哀乐附文“要其陪葬”，造成不良社会影响。目前杞县警方对视频发布者蒲某某批评教育，责令其删除相关网络帖文。

杞县网警提醒：
网络空间不是法外之地，请广大网民依法依规文明上网，自觉遵守公序良俗，自觉抵制网络谣言，共同营造风清气正的网络空间。（开封市委网信办）收起"
"#微博辟谣# 微博谣言治理公告（十八）

微博一直致力于营造安全、文明、友善的社区生态环境，长期以来秉持严厉态度对网络谣言予以坚决打击。为进一步加强对站内不实信息的有效治理，站方持续开展网络谣言专项治理工作，现将一周（2.19-2.25）治理情况公示如下：

站方依据《微博社区公约》等相关规定，对巡查发现到的“宁陵县一公厕现弃婴、弃婴的母亲13岁”、“新疆极端天气冻死牲畜和飞禽”等29类在全网流传的典型谣言予以辟除，共清理相关违规内容1504条，处置账号30个。其中，对最早发布相关谣言的微博账号@凛至冬季雨@用户5656616497 予以关闭账号处置。

站方将积极履行主体责任，不断完善微博辟谣工作机制，强化信息识别，加大溯源力度，对谣言信息及时打标签加以引导，对违规账号从严快速予以处置。同时也呼吁广大用户，理性讨论，友善发言，不造谣、不信谣、不传谣，与站方一道维护风清气正的网络环境。发现相关违规线索，用户可通过前台举报投诉入口和@微博管理员 方式进行举报，我们将及时予以处置。#微博社区公告#收起",https://weibo.com/1866405545/O2RvUsjCQ,2024-02-29,
#微博辟谣# 一网民编造公安机关执法行为的不实信息被查处,https://weibo.com/1866405545/O2RxsmGCZ,2024-02-29,"打击整治网络谣言典型案例通报（三）：近期，陈某在网络平台编造公安机关执法行为的不实信息，造成不良影响，扰乱公共秩序。公安机关依法对陈某予以行政处罚。
       警方提示：网络绝非法外之地。对于利用互联网发布不实信息、扰乱社会秩序、诽谤他人等行为，公安机关将依法严厉打击。请广大市民、网友不造谣、不传谣、不信谣，共同维护健康清朗的网络舆论环境和良好社会秩序。（编辑：腾飞 审核人：龚轩 发布人：姜王）收起"
#微博辟谣# 内江一工地发现疑似“炸弹”物体 内江公安：实为水泥墩子,https://weibo.com/1866405545/O2RsB8Fkz,2024-02-29,"【内江一工地发现疑似“炸弹”物体 内江公安：实为水泥墩子】2月28日上午，内江市东兴区新江路（内江市第二人民医院门诊部旁）施工现场发现一个可疑物体，引发围观群众猜疑，部分群众怀疑该可疑物体为“炸弹”，并在网上散播。2月29日，记者从内江市公安局获悉，经内江公安专业技术检测，当天在施工现场发现的可疑物体并非是炸弹，而是水泥墩子。

内江公安提醒：互联网不是法外之地，切勿随意散布传播未经证实的消息，主动做到不传谣、不信谣、不造谣。对故意散布传播谣言者，公安机关将依法予以查处。同时，非法持有、私藏枪支弹药属于违法犯罪行为，鼓励、保护广大人民群众积极举报涉枪支、弹药、爆炸物品、仿真枪、弩等违法犯罪活动、提供违法犯罪活动线索，动员、规劝在逃涉枪涉爆涉弩等案件犯罪人员投案自首。收起"
#微博辟谣# 一网民编造嫁接“南京市浦口区江浦街道暴雨导致水灾”谣言被查处,https://weibo.com/1866405545/O2RnZFHcL,2024-02-29,"打击整治网络谣言典型案例通报（一）
       为营造和谐清朗的网络环境，南京市公安局浦口分局网安大队持续加强对网络谣言的打击力度，有效净化网络环境。现将典型案例公布如下。
      近期，齐某为博取关注，从网上下载往年外地发生水灾的视频，编造嫁接“南京市浦口区江浦街道暴雨导致水灾”谣言在网络平台发布，造成不良社会影响，扰乱公共秩序。公安机关依法对齐某予以行政处罚。
       警方提示：网络绝非法外之地。对于利用互联网发布不实信息、扰乱社会秩序、诽谤他人等行为，公安机关将依法严厉打击。请广大市民、网友不造谣、不传谣、不信谣，共同维护健康清朗的网络舆论环境和良好社会秩序。（编辑：腾飞 审核人：龚轩 发布人：姜王）收起"
#微博辟谣# 一网民发布虚假视频并编造“南京重大事故十连撞”的不实言论被查处,https://weibo.com/1866405545/O2Rr0oEMc,2024-02-29,"打击整治网络谣言典型案例通报（二）：近期，陈某在网络平台发布虚假视频并编造“南京重大事故十连撞”的不实言论，造成不良社会影响，扰乱公共秩序。公安机关依法对陈某予以行政处罚。
       警方提示：网络绝非法外之地。对于利用互联网发布不实信息、扰乱社会秩序、诽谤他人等行为，公安机关将依法严厉打击。请广大市民、网友不造谣、不传谣、不信谣，共同维护健康清朗的网络舆论环境和良好社会秩序。（编辑：腾飞 审核人：龚轩 发布人：姜王）收起"
#微博辟谣# 男子编造绑架案50余名民警彻夜搜山：因外债无力偿还，勒索妻子8万元,https://weibo.com/1866405545/O2QVsjG08,2024-02-29,【#男子编造绑架案50余名民警彻夜搜山#：因外债无力偿还，勒索妻子8万元】#男子谎称遭绑架勒索妻子8万被拘# 2月26日晚，四川威远县公安局接到一女子报警称，其丈夫被绑架，对方索要8万元赎金。警方随即组织了50余名民警，在失踪地附近彻夜寻找，第二天上午找到“被绑架人”陈某。经调查，陈某因欠外债无力偿还，便自编自导自演这起“绑架”案。其虚构事实扰乱公共秩序的行为违反了《治安管理处罚法》第二十五条第（一）项之规定，被处以行政拘留十日。封面新闻 封面新闻的微博视频收起
#微博辟谣# 男子造谣1人因土地纠纷而死被拘15天,https://weibo.com/1866405545/O2QSF83pg,2024-02-29,【#男子造谣1人因土地纠纷而死被拘15天#】2月3日，广东茂名。茂南网警在工作中发现，网民金某明在某视频平台发布一个视频作品，视频内容显示现场人员众多，有政府工作人员、警察、医护工作者、群众等，一名人员睡在救护车的担架上，并配文字“茂名市茂南区羊角镇水牛埇村1人因征收土地纠纷而死，真是山高皇帝远，天理何在啊”。该视频一经发出迅速引发热议。16时许，茂南网警联合西粤派出所快速将金某明传唤到派出所接受审查。经查，该视频系金某明在醉酒后从网上下载来路不明的视频，为发泄个人私愤编造虚假信息发布到某视频平台上，想博取流量关注。归案后，金某明对散布虚假信息的违法行为供认不讳，茂南警方依法对其作出行政拘留十五日的处罚。@九派新闻 九派新闻的微博视频收起
#微博辟谣#郑州警方通报：编造“地域黑”等谣言，多人已被处罚,https://weibo.com/1866405545/O2QRahBmt,2024-02-29,"【郑州警方通报：编造“地域黑”等谣言，多人已被处罚】
为营造春节期间和谐清朗的网络环境，郑州市公安局持续开展“清朗·2024年春节网络环境整治”专项行动，坚持依法打击和综合治理相结合，重拳出击、从严整治本地网络造谣传谣突出问题。现将部分典型案例通报如下：

1、沈阳张某卫编造“郑州办理烟花爆竹燃放许可证”网络谣言案

1月20日，沈阳张某卫为吸引流量，将“烟花爆竹经营许可证”偷换概念，编造发布“郑州办理烟花爆竹燃放许可证”的虚假信息。经公安机关依法调查，其对违法行为供认不讳，公安机关已对其处以行政处罚。

2、洛阳卫某编造系列“地域黑”网络谣言案

1月底，洛阳卫某为赚取平台补贴，针对多个地市用相似“地域黑”文章模板，编造发布多条虚假不实信息。经公安机关依法调查，其对违法行为供认不讳，公安机关已对其处以行政处罚。

3、郑州张某编造“地铁见鬼”网络谣言案

1月25日，郑州张某出于娱乐心理，利用PS图像编辑软件制作“某地铁站出现鬼影”的虚假图片并对外发布。经公安机关依法调查，其对违法行为供认不讳，公安机关已对其批评教育并责令消除影响。

4、郑州石某、洛阳段某静编造“山火烧至郑州”网络谣言案

2月25日，郑州石某、洛阳段某静等出于娱乐心理，编造发布“山火烧至郑州”的虚假信息。经公安机关依法调查，其对违法行为供认不讳，公安机关已对石某、段某静进行批评教育并责令消除影响。

5、焦作刘某全编造“郑州某公园一对父子上吊自杀”网络谣言案

2月27日，焦作刘某全为博取关注、吸粉引流，编造发布“郑州某公园一对父子上吊自杀”的虚假信息。经公安机关依法调查，其对违法行为供认不讳，公安机关已对其处以行政处罚。

6、郑州刘某兰编造“某医院新生儿患脑癌死亡”网络谣言案

2月2日，郑州刘某兰为博取关注、吸引流量，编造发布“某市某医院的新生儿小杰患脑癌死亡”的虚假信息。经公安机关依法调查，其对违法行为供认不讳，公安机关已对其处以行政处罚。收起"
