title,url,date,text
天津一银行发生抢劫？当地回应,https://www.piyao.org.cn/20240229/239734599b30474783b1d76d078eabec/c.html,2024-02-29,"2月28日晚

网上消息称

在天津市西青区中国邮政储蓄银行（张窝营业所）

发生一起取钱被抢事件

2月29日上午

记者联系属地派出所获悉

系银行网点自动报警系统故障

未接到有人员取钱被抢的相关警情

网民称天津一家邮政储蓄银行发生抢劫事件。（网传视频截图）

  据网民拍摄的视频显示，在一家中国邮政储蓄银行门前，一辆津A牌照的警车鸣响警报，并有身穿制服的人员下车查看和询问情况，营业场所内照明灯亮着。多位网民表示，事发地点位于天津市西青区张家窝镇杰盛里小区附近。

  2月29日上午，记者致电属地派出所，工作人员表示，是银行系统的报警器故障，导致误报警，公安接到群众拨打的报警电话后，民警迅速到达现场，现场没有发现异常，经检查发现是报警器故障。

  对此，中国邮政储蓄银行天津分行工作人员表示，网民取钱抢劫系谣传，当天晚上系该银行所属的ATM机故障报警，周边群众发现后电话报警，民警到现场排查后发现，没有异常情况。工作人员现场核查也未发现异常情况。

  据介绍，夜晚，银行内有动静触发红外报警装置就会发出报警声，并且室内灯光会自动打开，以便照清入侵者的样子。同时，银行的安保部门和所属辖区派出所都会收到警报。"
网红直播“约架”，6人被抓！警方通报细节,https://www.piyao.org.cn/20240229/3dda296963c649ca8de00c28b9bdc4a2/c.html,2024-02-29,"  视频直播画面中，在四川南充阆中市一路段，几名男子对躺在地上的一名男子进行殴打，起因是该男子在网上辱骂了他人……

  当网友们对屏幕中的直播画面感到七上八下时，几乎没有人知道，这其实是网红为博流量自编自导的一场“约架”。
 

  2月28日，记者从阆中当地警方获悉，警方目前已依法对6名涉事人员处以5-7天不等的行政拘留。

  图片“约架”直播画面截图

  这场有预谋的“约架”直播发生在2月3日晚上。

  据阆中警方消息，2月3日下午，何某充当编剧和导演，组织邀约了王某、谯某等一众演员进行直播编排。经商定，何某安排杨某饰演被殴打人，何某、王某等人演打手，罗某担任摄像师。编排设定了由杨某在网上辱骂何某等人，随后何某等人找到杨某后对他进行殴打，过程中杨某逃跑，又进行追逐殴打暴力刺激的剧情。

  2月3日晚10时，何某等人选择了七里辖区一条偏僻黑暗“氛围感十足”的路段作为场地，并按照设定的剧本进行直播表演，整个过程持续约36分钟，引发网民关注，造成恶劣影响。

  图片涉事人员被抓获

  据警方消息，何某等人行为涉嫌寻衅滋事，根据《中华人民共和国治安管理处罚法》第二十六条第四项之规定，对何某处行政拘留7日，对王某、谯某、戚某、罗某、杨某均处行政拘留5日。

  警方提醒，网络空间绝非法外之地，人人都要为自己的言行负责，切不可将线上矛盾纠纷放至线下武力粗暴解决，以博眼球方式“涨粉”出名，对于挑战法律底线违反公序良俗的行为，公安机关将从严打击坚决净化网络环境。"
上头了！减肥的三大陷阱你有没有中？,https://www.piyao.org.cn/20240229/5fd527f563764943868244aae315c8c4/c.html,2024-02-29,  医生介绍，研究发现，科学减重可以有效缓解或治愈很多代谢性疾病，不过，减肥要讲究科学，盲目减肥会对身体造成一定的伤害。  减肥过程中要注意这三点：①迈开腿，选择适合自己的运动；②在保持均衡饮食的情况下少吃，但不建议过度地少吃；③谨慎尝试减肥新方法，慎重选择网红产品。详见↓↓↓视频Play Video0:00/0:00
多人视频会议只有自己是“真人”？！“AI换脸”诈骗案曝光,https://www.piyao.org.cn/20240229/561e2b27f55b462fbda50c2568f9e0db/c.html,2024-02-29,"  参加多人视频会议

  结果只有自己是真人

  这事听上去似乎匪夷所思

  却真实地发生了

  近期，香港警方披露了一起

  多人 “AI换脸”诈骗案

  涉案金额高达2亿港元

  在这起案件中，一家跨国公司香港分部的职员受邀参加总部首席财务官发起的“多人视频会议”，并按照要求先后转账多次，将2亿港元分别转账15次，转到5个本地银行账户内。

  其后，向总部查询才知道受骗。警方调查得知，这起案件中所谓的视频会议中只有受害人一个人是“真人”，其他“参会人员”都是经过“AI换脸”后的诈骗人员。

  近期，

  在陕西西安也发生了一起

  “AI换脸”诈骗案例

  ▼

  陕西西安财务人员张女士与老板视频通话，老板要求她转账186万元到一个指定账号。

  被害人 张女士：老板让把这个款赶紧转过去，这笔款要得非常着急，因为他声音还有视频图像都跟他人是一样的，所以就更确信这笔款是他要的了。

  转账之后，张女士按照规定将电子凭证发到了公司财务内部群里，然而出乎意料的是，群里的老板看到信息后，向她询问这笔资金的来由。

  被害人 张女士：然后我们就打电话再跟老板核实，老板说他没有给我发过视频，也没有说过这笔“转账”。

  意识到被骗的张女士连忙报警求助，警方立刻对接反诈中心、联系相关银行进行紧急止付，最终保住了大部分被骗资金——156万元。

  据专家介绍

  “AI换脸”过程

  主要包括

  人脸识别追踪

  面部特征提取

  人脸变换融合

  背景环境渲染

  图像与音频合成等几个关键步骤

  其背后，

  最核心的包括三个部分：

  首先，利用深度学习算法精准地识别视频中的人脸图像，并提取出如眼睛、鼻子、嘴巴等关键面部特征。

  其次，将这些特征与目标人脸图像进行匹配、替换、融合。

  最后，通过背景环境渲染并添加合成后的声音，生成逼真度较高的虚假换脸视频。

  学会几招

  识别AI“换脸换声”

  AI换脸这一技术的出现

  导致眼见也不一定为实了

  我们该如何防范呢？

  专家表示

  其实AI人工换脸无论做得多逼真

  想要识别真假还是有一些方法的

  中国计算机学会安全专业委员会数字经济与安全工作组成员 方宇：我们可以要求对方在视频对话的时候，在脸部的前面通过挥手的方式，去识别实时伪造的视频，因为它要对这个视频进行实时的生成和处理以及AI的换脸。

  在挥手的过程中，会造成面部的数据干扰。挥手过程中，他所伪造的人脸，会产生一定的抖动或者是闪现，再或是一些异常的情况。

  第二个就是，在点对点的沟通中可以问一些只有对方知道的问题，验证对方的真实性。

  中国科技大学网络空间安全学院执行院长俞能海提醒，可以让对方摁鼻子、摁脸，观察其面部变化。

  他在一个采访中表示，如果是真人的鼻子，按下去是会变形的，但AI生成的鼻子并不会。

  同样，脸部也一样。真人脸部按下去是会变形的。

  提醒：提高防范意识

  避免个人生物信息泄露

  专家表示，除了知晓一些辨别AI换脸诈骗的小诀窍，我们每一个人都应该提高防范意识，在日常生活中也要做好相关防范，养成良好的上网习惯。

  首先，应该是做好日常信息安全保护，加强对人脸、声纹、指纹等生物特征数据的安全防护。另外做好个人的手机、电脑等终端设备的软硬件的安全管理。

  第二，不要登录来路不明的网站，以免被病毒侵入。

  第三，对可能进行声音、图像甚至视频和定位等信息采集的应用，做好授权管理。不给他人收集自己信息的机会，也能在一定程度上让AI换脸诈骗远离自己。"
法定节假日加班费如何主张？送你四条法治“锦囊”,https://www.piyao.org.cn/20240228/b2903dc74b4143cb8607b5c07ce529d8/c.html,2024-02-28,"  春节刚刚过去，在假期，还有很多劳动者在辛苦地工作着。他们牺牲了跟家人团聚及休息的美好时光，是否能够向用人单位主张加班费呢？如果可以，该如何主张加班费？

  锦囊一：“工时制”要清楚！

  劳动者要清楚自己的岗位适用何种工时制。

  根据我国《劳动法》及相关规定，国家实行劳动者每日工作时间不超过八小时、平均每周工作时间不超过四十四小时的工时制度，用人单位应当保证劳动者每周至少休息一日，即标准工时制。企业因生产特点不能实行标准工时制的，经劳动行政部门批准，可以实行其他工作和休息办法。据此，我国的工时制分三种，即标准工时制、综合计算工时制和不定时工时制。

  根据《北京市工资支付规定》，用人单位经批准实行综合计算工时工作制的，在综合计算工时周期内，用人单位应当按照劳动者实际工作时间计算其工资；劳动者总实际工作时间超过总标准工作时间的部分，视为延长工作时间，应当按照工资基数150%支付加班工资；安排劳动者在法定节假日工作的，应当按照工资基数300%支付加班工资。用人单位经批准实行不定时工作制度的，不适用本规定第十四条的规定，即用人单位无需支付加班工资。

  因此，北京市的规定是如果劳动者的岗位是适用不定时工作制的，则劳动者无法主张加班费。劳动者的岗位是适用综合计算工时制的，用人单位安排劳动者在法定节假日工作，应当按照工资基数300%支付加班工资；用人单位在其他期间安排劳动者工作的，则要看在综合计算工时周期内劳动者总实际工作时间是否超过总标准工作时间，如果超过总标准工作时间，视为延长工作时间，应当按照工资基数150%支付加班工资。故在综合计算工时制下，不存在劳动者休息日加班的200%工资。

  锦囊二：加班性质要区分！

  要分清楚是法定节假日加班还是休息日加班，适用不同的计算标准。

  根据我国劳动法相关规定，休息日安排劳动者工作又不能安排补休的，支付不低于工资的百分之二百的工资报酬；法定节假日安排劳动者工作的，支付不低于工资的百分之三百的工资报酬。

  根据我国《全国年节及纪念日放假办法》（2013.12.11修订）规定，全年法定节假日共11天：

  （一）新年，放假1天（1月1日）；

  （二）春节，放假3天（农历正月初一、初二、初三）；

  （三）清明节，放假1天（农历清明当日）；

  （四）劳动节，放假1天（5月1日）；

  （五）端午节，放假1天（农历端午当日）；

  （六）中秋节，放假1天（农历中秋当日）；

  （七）国庆节，放假3天（10月1日、2日、3日）。

  因此上述11天为法定节假日，如果劳动者加班，用人单位应支付工资基数300%的加班工资，除上述法定节假日之外的周末休息日及调休的休息日，如果劳动者加班，用人单位应支付工资基数200%的加班工资。

  锦囊三：计算方法要掌握！

  加班费的工资基数如何计算？

  按照《劳动法》第五十一条的规定，法定节假日用人单位应当依法支付工资，即折算日工资、小时工资时不剔除国家规定的11天法定节假日。据此，日工资、小时工资的折算为：

  日工资=月工资收入÷月计薪天数

  小时工资=月工资收入÷（月计薪天数×8小时）

  月计薪天数＝（365天-104天）÷12月＝21.75天

  锦囊四：两个“注意”要知悉！

  作为劳动者，想要主张加班费，还需要注意哪些问题？

  一要注意做好举证。劳动者主张加班费的，应当就加班事实的存在承担举证责任。但劳动者有证据证明用人单位掌握加班事实存在的证据，用人单位不提供的，由用人单位承担不利后果。要证明加班的证据一般有考勤记录、加班审批单、加班时的工作记录、加班报销凭证、与领导的聊天记录、录音、录像以及工友证明等，只要劳动者能提供初步证据，此时举证责任转换给用人单位。用人单位一般掌握管理劳动者是否加班、具体的加班时间以及加班时间的长短等证据，用人单位不提供则要承担不利后果，推定劳动者主张成立。

  二是注意时效要求。《劳动争议调解仲裁法》第二十七条规定，劳动争议申请仲裁的时效期间为一年。仲裁时效期间从当事人知道或者应当知道其权利被侵害之日起计算。前款规定的仲裁时效，因当事人一方向对方当事人主张权利，或者向有关部门请求权利救济，或者对方当事人同意履行义务而中断，从中断时起，仲裁时效期间重新计算。因不可抗力或者有其他正当理由，当事人不能在本条第一款规定的仲裁时效期间申请仲裁的，仲裁时效中止。从中止时效的原因消除之日起，仲裁时效期间继续计算。劳动关系存续期间因拖欠劳动报酬发生争议的，劳动者申请仲裁不受一年仲裁时效期间的限制；但是，劳动关系终止的，应当自劳动关系终止之日起一年内提出。因加班费也属于劳动报酬，故劳动者主张加班费的仲裁时效为自动关系终止之日起一年内提出，若超出一年的仲裁时效提出，且用人单位提出时效抗辩的，则加班费无法获得仲裁机构或人民法院的支持。

  文/杨舒淇（北京市丰台区人民法院）"
重庆机场一飞机突然起火？假的！系旧闻翻炒 ！,https://www.piyao.org.cn/20240228/4609ee96ae41441698ca86d8f1425461/c.html,2024-02-28,"  2月27日早上，网传“重庆机场突然起火”，引发网友关注。经相关部门核实，该信息为谣言。

  网传信息为发布于某网站平台的一条短视频，视频画面显示一客机停放在飞机跑道上，不少乘客正从飞机客舱中跑出，并配文称“重庆机场突然起火 所有旅客安全撤离”。

  经重庆机场集团核实，江北机场、黔江机场、巫山机场、仙女山机场均未发生异常情况，不存在网传信息所谓“起火”事件。

  经进一步核实，该视频实为2022年5月12日西藏航空一航班在重庆江北国际机场起飞时偏出跑道后起火的视频画面。当日，机场安全、消防等部门第一时间启动应急机制，所有旅客和机组全部安全撤离。

  网传信息系翻炒旧闻，为不实虚假信息。目前，相关部门正在对该谣言进行调查处理。

  网络谣言的常见类别

  01 自然灾害类网络谣言

  指捏造某种灾害即将发生的信息，或者夸大已发生灾害的危害性信息，扰乱社会秩序。

  02 恐怖事件类网络谣言

  指虚构恐怖信息或危害公共安全事件信息，引发公众恐慌，影响社会稳定。

  03 捏造犯罪类网络谣言

  指捏造骇人听闻的犯罪信息，引起公众愤怒、恐惧等情绪，同时影响当事人的声誉，扰乱正常生活秩序。

  04 食品安全类网络谣言

  指捏造或夸大某类食品或产品存在质量问题，引发公众抵制，干扰正常生产经营秩序。

  05 个人事件类网络谣言

  指针对某些个人编造吸引眼球的虚假信息，侵害当事人隐私，并造成不良影响。

  编造、散布谣言网络谣言的后果

  在网络上编造、散布谣言需要承担的法律责任，根据行为的情节严重程度可能会承担民事责任、行政违法责任和刑事责任。

  1.民事责任

  即如果散布谣言侵犯了民事主体的名誉权，依据我国民法典的规定，要承担相应民事责任。《中华人民共和国民法典》相关规定如下：

  第一千零二十四条 民事主体享有名誉权。任何组织或者个人不得以侮辱、诽谤等方式侵害他人的名誉权。名誉是对民事主体的品德、声望、才能、信用等的社会评价。

  第一千零二十五条 行为人为公共利益实施新闻报道、舆论监督等行为，影响他人名誉的，不承担民事责任，但是有下列情形之一的除外：（一）捏造、歪曲事实；（二）对他人提供的严重失实内容未尽到合理核实义务；（三）使用侮辱性言辞等贬损他人名誉。

  第一千一百九十四条 网络用户、网络服务提供者利用网络侵害他人民事权益的，应当承担侵权责任。法律另有规定的，依照其规定。

  2.行政违法责任

  即如果散布谣言，谎报险情、疫情、警情或者以其他方法故意扰乱公共秩序的，或者捏造事实诽谤他人的，尚不构成犯罪的，要依据治安管理处罚法等规定给予拘留、罚款等行政处罚。《中华人民共和国治安管理处罚法》相关规定如下：

  第二十五条第（一）项：散布谣言，谎报险情、疫情、警情或者以其他方法故意扰乱公共秩序的，处五日以上十日以下拘留，可以并处五百元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。

  3.刑事责任

  如果构成犯罪，则要依据《中华人民共和国刑法》的规定追究刑事责任。《中华人民共和国刑法》相关规定如下：

  第二百四十六条 侮辱罪、诽谤罪以暴力或者其他方法公然侮辱他人或者捏造事实诽谤他人，情节严重的，处三年以下有期徒刑、拘役、管制或者剥夺政治权利。

  第二百九十一条之一第二款 编造、故意传播虚假信息罪编造虚假的险情、疫情、灾情、警情，在信息网络或者其他媒体上传播，或者明知是上述虚假信息，故意在信息网络或者其他媒体上传播，严重扰乱社会秩序的，处三年以下有期徒刑、拘役或者管制；造成严重后果的，处三年以上七年以下有期徒刑。

  第二百九十三条第一款第（二）项、第（四）项 寻衅滋事罪有下列寻衅滋事行为之一，破坏社会秩序的，处五年以下有期徒刑、拘役或者管制：（二）追逐、拦截、辱骂、恐吓他人，情节恶劣的；（四）在公共场所起哄闹事，造成公共场所秩序严重混乱的。

  如何辨别网络谣言

  网络谣言具有夸大事件严重性、断章取义、移花接木等特点，如何辨别您所看到的事件是否真实，可以从以下几个角度进行判断

  01 文章发布的权威性。注意观察文章结尾是否有署名或标注出处，判断其是否由权威媒体或机构发布，避免被作者主观臆测带偏。

  02 内容观点的客观性。阅读时应注意文章是否存在夸大事实、以偏概全、断章取义、极端言论、文不对题等表达方式。

  03 浏览页面的健康性。部分平台为吸引关注，将色情、浮夸等类型的图片设置为封面，或页面含有大量广告、网络小说链接等不健康内容。"
广西玉林园博园摊贩到厕所取水加工食品？,https://www.piyao.org.cn/20240228/1d0a0f3c3d3d4914b1377c70b44ba991/c.html,2024-02-28,"  近日，网上出现一段摊贩在公共厕所取水使用的视频，视频内容显示“玉林园博园小吃摊主在公共厕所取用自来水”，视频发布人表示“感到很不卫生”，引发网友关注。

  2月22日，广西玉林市市场监督管理局发布情况通报表示，经核实，视频中摊主到厕所取水是用于地面清洁，加工食品用水是从家里拉来的城市生活饮用水，网传信息不实。

  广西互联网辟谣平台提醒广大网民，不信谣，不传谣，自觉维护天朗气清的网络空间。"
9.9元包邮的耳机，真的能用吗？会伤听力吗？,https://www.piyao.org.cn/20240228/93656774c9704975812cd3ba57936070/c.html,2024-02-28,"  在很多购物软件上，一搜“耳机”，你可能会搜出价格千差万别的耳机，有几百几千元的，也有 9 块 9 包邮，甚至还有不到 2 块钱还能包邮的耳机，这样的价格可以说是便宜到令人有些怀疑了。

  

  图片来源：某电商平台截图

  假如去网上搜一下，你甚至还能搜到不少关于耳机漏电的新闻。那几块钱包邮的耳机真的能用吗？用这样的耳机会不会漏电？到底伤不伤耳朵呢？下面我们就来说一说耳机和听力的关系。

  便宜的耳机会漏电伤耳朵？

  首先这里要区分一下，耳机的价格便宜可能是商家的促销行为，当然也有可能是店铺销售质量不达标的耳机。

  那作为消费者我们要怎么区分呢？

  其实非常简单，只要看寄来的耳机包装盒上或者是包装盒内是不是有“质量检验合格证”就可以了。

  根据我们国家 2000 年 7 月发布的《中华人民共和国产品质量法》第二十七条，所有的产品或者其包装上，都应该有产品质量检验合格证明。

  无论网店销售的耳机有多么便宜，也是必须要有产品质量检验合格证的。

  如果没有合格证，那这样的商品很可能不是正规厂家生产的。如果真的买到，也建议不要使用，以免出现漏电情况。并且假如买到了这样的产品，消费者可以直接拨打 12315 或者在 12315 的官网维权。

  只要买到的耳机有产品质量检验合格证，通常情况下是可以放心使用的。当然了，对于 2 块钱包邮或者 9 块 9 包邮的耳机，音质方面大家就不要有太高的期望啦。

  不过有些人可能会发现，即便是质量合格的耳机，在使用过程中也可能会有微弱的“电耳朵”感。这种“电耳朵”可能并不是因为耳机漏电，而是耳机在跟衣服、头发摩擦之后产生的静电。

 

苹果官网对于耳机与静电的说明

  比如在苹果官网上也有专门对耳机静电的提醒，对于这种轻微的“电耳朵”现象，不用太过担心，而且一般在耳机上加一个海绵套就可以解决一部分静电问题。

  而相比于耳机静电，听音乐的时候，耳机音量过大更有可能会损伤听力。这样的损伤往往比较隐蔽，且不可逆。

  音量与听力损伤

  要了解过大的音量是怎么样损伤耳朵的，我们要先了解一下耳朵的结构。

  声波在传递到我们的耳朵内部后，耳蜗里一种叫做“毛细胞”的结构能够感受到这些振动，并且能够把这些振动转化成神经信号传递给大脑，大脑经过处理，我们就听见了声音。

  但这些毛细胞比较脆弱，如果振动太强，毛细胞可能会受损。比如，突然听到一声巨响，人可能会暂时失去听力或者发出一阵耳鸣，需要一段时间才能缓过来。而假如响声特别大，或者长时间暴露在吵闹的噪声中，毛细胞可能会永久受损、死亡。

  毛细胞还有一个特点，它们死亡之后是不可以再生的。也就是说，毛细胞死亡造成的听力损伤是不可逆的。

  而相比之下，负责感受高频声音的毛细胞更容易受损伤，所以人们一般会首先失去对高频率声音的听力。比如微波炉、电磁炉工作时产生的非常尖锐的“滋滋声”，或者老式晶体管电视机、显示器开机时候发出的“滋啦”声。

  但这些声音对日常生活几乎是没有什么影响的，所以在听力损伤的初期，人往往也很难察觉到，也就更难意识到自己的用耳习惯不健康了。

  多大的声音会伤耳朵？

  那究竟多大的声音会损伤听力呢？这要综合考虑音量以及暴露在这个音量下的时间。

  世界卫生组织给了一个不同音量下的安全听力时间。

不同声音强度下的安全听力时间及对应场景。图片信息来源：WHO 官网

  比如，我们平时正常对话的音量大概是 60 分贝。只要不超过这个音量，每周的安全听力时间是无限，也就是不会损伤我们的听力。

  在坐公交地铁的时候，车内的噪声大约在 85 分贝，每周的暴露时间小于 12.5 小时，平均到每天，大概是每天 1 小时 40 分钟。

  但要注意，在上了地铁或者公交车之后，你可能会不自觉地开大音量。这是因为如果想让自己更清晰地听清耳机里的声音，耳机里的声音要比背景噪音的音量更高才行。

  具体调高多少因人而异。我们可以参考 2016 年发表在《实验医学与生物学进展》（Adv Exp Med Biol.）上的一项研究，当人说话声的音量比背景噪音高出 6 分贝以上的时候，人们才能更清晰地理解语义。

  所以假如想在背景噪声是 85 分贝的公交车上跟别人语音聊天，或者是想要听清楚音乐里的细节，我们很容易就把音量调高到 90 分贝，甚至是 95 分贝以上。

  另一篇发表在《国际听力学杂志》（International Journal of Audiology）上的研究发现，当背景噪声在 75 分贝的时候，人们就已经会把耳机音量调高到 90~95 分贝了。

背景噪声与人们倾向使用的声音强度。图片来源：参考文献[3]

  那在 95 分贝下，安全听力的时间是每周 1 小时 15 分，也就是平均每天 10 分钟左右，大部分人的通勤时间可比这个要长得多。所以，在上下班通勤的公交和地铁上听音乐，很可能就已经超过了“安全听力时间”。

  另外，2017 年发表在《噪声健康》上的一篇文章研究了瑞典的年轻人听音乐的情况，大约有 10%的年轻人在听音乐时候的音量过大，会达到 90 到 100 分贝。甚至在睡觉的时候也会用这么大的声音听音乐。

  这毫无疑问是会损伤听力的。

  如何保护好我们的耳朵？

  那根据前面所说的，想要保护听力其实非常简单，只要在听音乐或者打电话的时候，注意控制耳机的音量就可以了。

  但问题来了，我们要怎么知道自己听音乐的音量是多少？

  其实，在很多手机里都会自带听力保护的功能。当音量调节过大的时候，会自动弹出提示。同时也可以直接调整安全上限，在耳机音量超过上限的时候自动降低音量。

可以设置降低超高的声音。图片来源：作者提供

  另外，很多手机里也可以统计耳机的音量情况。比如，苹果手机的健康模块中，就有这样的功能，你可以看看日常听音乐时候耳机音量是多少，有没有超过每周的“安全听力时间”。

耳机音量统计。图片来源：作者提供

  另外，如果手机中没有这样的功能，也可以参考世界卫生组织的“60-60-60原则”，即“音量不要超过最大音量的 60%，单次使用耳机时长不要超过 60 分钟，周围的音量最好不要超过 60 分贝。”

  如果想在通勤时候享受属于自己的音乐时间，也可以考虑使用主动降噪耳机。

  大部分耳塞式耳机和入耳式耳机都属于被动降噪耳机，也就是通过耳机塞在耳朵里这个方式阻隔外界噪声，但这样的阻隔效果是比较有限的。

  而主动降噪是耳机主动发出跟声波相反方向的声波，降低周围环境噪声，这种耳机的降噪效果往往比较好，能够让你用更低的音量听清音乐。

  当然了，主动降噪耳机的缺点也很明显，就是偏贵，对于 9.9 包邮的耳机，是不太可能有这样的功能的。而且在使用主动降噪耳机的时候一定要分场合，在路上行走，或者是骑车的时候，尽量不要使用主动降噪耳机，否则可能会听不清周围汽车的喇叭声，进而发生危险。

  毕竟，听力和行车安全都很重要！

  参考文献

  [1] 世界卫生组织官网：

  https://www.who.int/zh/news-room/questions-and-answers/item/deafness-and-hearing-loss-safe-listening

  [2] Whitmer, W. M., McShefferty, D., & Akeroyd, M. A. (2016). On Detectable and Meaningful Speech-Intelligibility Benefits. Advances in experimental medicine and biology, 894, 447–455. https://doi.org/10.1007/978-3-319-25474-6_47

  [3] Jiang W, Zhao F, Guderley N, Manchaiah V. Daily music exposure dose and hearing problems using personal listening devices in adolescents and young adults: A systematic review. Int J Audiol. 2016;55(4):197-205. doi: 10.3109/14992027.2015.1122237. Epub 2016 Jan 15. PMID: 26768911.

  [4] Widen SE, Båsjö S, Möller C, Kähäri K. Headphone listening habits and hearing thresholds in swedish adolescents. Noise Health. 2017 May-Jun;19(88):125-132. doi: 10.4103/nah.NAH_65_16. PMID: 28615542; PMCID: PMC5501022."
​​​广西南宁某派出所车辆爆炸三人牺牲？,https://www.piyao.org.cn/20240229/2632907d7b9a4e4f8d3b4411be0dafc2/c.html,2024-02-29,"  近期，有网民在短视频平台上发布视频称“近日，某派出所三人在路口巡逻中，突然车辆发生爆炸，导致三位民警全部牺牲”，该信息引起网民关注，造成不良影响。

  经广西南宁公安部门调查，该信息为谣言，网民韦某对其使用手机杜撰、发布谣言信息的违法行为供认不讳。根据《中华人民共和国治安管理处罚法》第二十五条，属地公安机关依法对韦某处以行政处罚。

  在此提醒广大网民：

  互联网并非法外之地

  请广大网民不信谣、不传谣、不造谣

  自觉维护风清气正的网络空间"
广西玉林也有地铁了？不实信息！,https://www.piyao.org.cn/20240228/e2aad1817e4e4554b793d7d8e59eff78/c.html,2024-02-28,"  近日，有网民发布视频并配文称“太久没在玉林玩了，没想到玉林也有地铁了”，引发大量网友关注评论。

  经调查，该视频为网民赵某在短视频平台上为博取眼球、吸引流量发布的网络谣言 ，涉嫌扰乱社会公共秩序，造成不良的社会影响。目前，广西博白县公安局依法对赵某做出了行政处罚，相关谣言信息已删除。

在此提醒广大网民：

互联网并非法外之地

请广大网民不信谣、不造谣、不传谣

共同维护天朗气清的网络环境"
